S.No,NABL/NON NABL,Discipline / Group,Materials or Products tested,Parameter,Method,Sample Quantity g/mL,Lead time,Charges per sample,No of Sample,18% GST SAC 998343,Total amount,PROTOCOL NO.,NABL Range,Limit of quantification,,Protocol Link
12,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Ascorbic acid % w/w,ABRL STP 005 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.00001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
13,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Barium as Ba mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
14,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Boron as B mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
15,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",C:N Ratio,FCO 1985 SCD IV Part D Cl.No. 07,50,15,100,1,18,118,ABRL PRO 008,Calculative,,,"https://forms.gle/b51JKPnT1J9kNucy8 , https://forms.gle/Q3mPhs2GWZHCcP1T6"
16,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",C:N Ratio ,IS 16556,50,15,100,1,18,118,ABRL PRO 008,Calculative,,,"https://forms.gle/b51JKPnT1J9kNucy8 , https://forms.gle/Q3mPhs2GWZHCcP1T6"
17,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Cadmium as Cd mg/kg,FCO 1985 SCD IV Part D Cl.No.10,50,15,3200,1,576,3776,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
18,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Cadmium as Cd mg/kg,IS 16556,50,15,3200,1,576,3776,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
19,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Calcium as Ca mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,1 mg/kg to 500000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
20,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Carrabiitol % w/w,ABRL STP 092 (HPLC),100,15,3500,1,630,4130,,,,,
21,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Cation Exchange Capacity meq/g,ABRL STP 053 (MP-AES),50,15,1500,1,270,1770,ABRL PRO 045, 1 meq/g to 50000 meq/g,,,https://forms.gle/8X4X79vm56r7wuts8
22,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Chromium as Cr mg/kg,FCO 1985 SCD IV Part D Cl.No.10,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
23,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Chromium as Cr mg/kg,IS 16556,50,15,600,,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
24,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Clarity,European Pharmacopiea 9.2,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
25,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Cobalt as Co mg/kg,ABRL STP 043 (MP-AES),100,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
26,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Colour,OPPTS 830.6302,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
27,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Conductivity µS/cm,FCO 1985 SCD IV Part D Cl.No.04,50,15,450,1,81,531,ABRL PRO 017,1 µS/cm to 50000 µS/cm,,,https://forms.gle/NjLm8u7U1By8uar4A
28,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Conductivity µS/cm,IS 16556,50,15,450,1,81,531,ABRL PRO 017,1 µS/cm to 50000 µS/cm,,,https://forms.gle/NjLm8u7U1By8uar4A
29,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Copper as Cu mg/kg,FCO 1985 SCD IV Part D Cl.No.10,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
30,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Copper as Cu mg/kg,IS 16556,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
31,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Density g/ml,FCO 1985 SCD IV Part D,50,15,350,1,63,413,ABRL PRO 041,0.500 to 2.500 g/ml,,,https://forms.gle/1ummEPEzcdMaeP1XA
32,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Density g/ml,IS 16556,50,15,350,1,63,413,ABRL PRO 041,0.500 to 2.500 g/ml,,,https://forms.gle/1ummEPEzcdMaeP1XA
33,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Dilution Stability,CIPAC MT 41,50,15,1500,1,270,1770,ABRL PRO 093,Not applicable,,,https://forms.gle/7WdUJ6YZ1kVrGfC77
34,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Elemental Sulphur % w/w,FCO 1985 SCD II Part B Cl. No.24,50,15,400,1,72,472,ABRL PRO 011,0.1 % to 50 %,,,https://forms.gle/NEPfFA1GmooQ6YAg8
35,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Folic acid % w/w,ABRL STP 001 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.005 % to 95 %,0.15 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
36,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Formol nitrogen content % w/w,Thai industrial standard Page no.191,50,15,2000,1,360,2360,ABRL PRO 092,0.05 % to 50 %,,,https://forms.gle/Y7Ye6zMjosRonixA8
37,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Free alkali as KOH % w/w,ABRL STP 038 (Titremetric),50,15,450,1,81,531,ABRL PRO 024,0.01 % to 50 %,,,https://forms.gle/UD2YCiGdzqo8VMFb6
38,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Free alkali as NaOH % w/w,ABRL STP 038 (Titremetric),50,15,450,1,81,531,ABRL PRO 024,0.01 % to 50 %,,,https://forms.gle/UD2YCiGdzqo8VMFb6
39,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Free amino nitrogen % w/w,ABRL STP 052 (Ninhydrin),50,15,1500,1,270,1770,ABRL PRO 044,0.001 % to 99 %,,,https://forms.gle/KnFSJs2pxi9pDKaTA
40,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Fucoidan % w/w,ABRL STP 115 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.00001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
41,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Fulvic acid % w/w,ABRL STP 116 (Titrimetric),50,15,1000,1,180,1180,ABRL PRO 108,0.001 % to 60 %,,,https://forms.gle/rMyfSJtJSzRCT7Yj8
42,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Gibbrellic Acid -3 (GA3) % w/w,ABRL STP 003 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.001 % to 97 %,0.17 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
43,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Humic Acid % w/w,ISO 19822,50,15,4000,1,720,4720,ABRL PRO 029,1 % to 70 %,,,"https://forms.gle/BYPkiHP9Z2dBoFVs6 , https://forms.gle/NEPfFA1GmooQ6YAg8"
44,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Hydrophobic fulvic acid % w/w,ISO 19822,50,15,4000,1,720,4720,ABRL PRO 029,1 % to 70 %,,,"https://forms.gle/BYPkiHP9Z2dBoFVs6 , https://forms.gle/NEPfFA1GmooQ6YAg8"
45,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Indole Acetic Acid % w/w,ABRL STP 002 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.005 % to 99 %,0.14 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
46,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Indole Butyric Acid % w/w,ABRL STP 022 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.003 % to 99 %,0.52 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
47,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Inorganic matter (Ash) % w/w,Calculative based on FCO 1985 SCD IV Part D Cl.No.05,50,15,800,1,144,944,ABRL PRO 008,1 % to 55 %,,,https://forms.gle/b51JKPnT1J9kNucy8
48,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Inorganic matter (Ash) % w/w,IS 16556,50,15,800,1,144,944,ABRL PRO 008,0.1 % to 99 %,,,https://forms.gle/b51JKPnT1J9kNucy8
49,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Inorganic Nitrogen (Nitrate nitrogen) % w/w,FCO 1985 SCD II Part B Cl.No.03,50,15,1000,1,180,1180,ABRL PRO 055,0.1 % to 35 %,,,https://forms.gle/3CzKP7dHJ2b1ptPq6
50,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Iron as Fe % w/w,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
51,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",K as K2O % w/w,IS 9497,,15,,,0,0,,,,,
52,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Kinetin % w/w,ABRL STP 008 (HPLC),50,15,4000,1,720,4720,ABRL PRO 002,0.005 % to 99 %,0.03 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
53,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Laminarin % w/w,ABRL STP 114 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.00001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
54,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Lead as Pb mg/kg,FCO 1985 SCD IV Part D Cl.No.10,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
55,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Lead as Pb mg/kg,IS 16556,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
56,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Magnesium as Mg mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
57,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Manganese as Mn mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
58,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Mannitol % w/w,ABRL STP 051 (HPLC),50,15,1500,1,270,1770,ABRL PRO 043,0.01 % to 95 %,,,https://forms.gle/Gx8Sx2CdHYh9FdJm7
59,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Material Insoluble in water % w/w,CIPAC MT 10,50,15,350,1,63,413,ABRL PRO 020,0.1 % to 50 %,,,https://forms.gle/4mKKEZ5kDncKWzB86
60,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Mercury as Hg mg/kg,FCO 1985 SCD IV Part D Cl.No.11,50,15,1000,1,180,1180,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
61,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Mercury as Hg mg/kg,IS 16556,50,15,1000,1,180,1180,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
62,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Moisture Content % w/w,FCO 1985 SCD IV Part D Cl.No.02,200,15,450,1,81,531,ABRL PRO 004,0.1 % to 65 %,,,https://forms.gle/r52g7ec3g7ZfoEhWA
63,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Moisture Content % w/w,ABRL STP 090 (IR Balance),200,15,450,1,81,531,ABRL PRO 030,0.1 % to 65 %,,,https://forms.gle/GVr8x5kg84nXY8ML9
64,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Moisture Content % w/w,IS 15106,50,15,450,1,81,531,ABRL PRO 004,0.01 % to 50 % w/w,,,https://forms.gle/r52g7ec3g7ZfoEhWA
65,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Moisture Content % w/w,IS 16556,200,15,450,1,81,531,ABRL PRO 004,0.1 % to 65 %,,,https://forms.gle/r52g7ec3g7ZfoEhWA
66,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Moisture Content % w/w,ISO 19822,50,15,500,1,90,590,ABRL PRO 004,1 % to 10 %,,,https://forms.gle/r52g7ec3g7ZfoEhWA
67,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Molybdenum as Mo mg/kg,ABRL STP 043 (MP-AES),50,15,1000,1,180,1180,ABRL PRO 028,10 µg/kg to 100000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
68,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Myo-inositol % w/w,ABRL STP 113 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.00001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
69,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Na as Na2O % w/w,IS 9497,50,15,500,1,90,590,ABRL PRO 006,0.05% to 50 %,,,"https://forms.gle/xFDBDxZZHQdxNbVW8 , https://forms.gle/r52g7ec3g7ZfoEhWA"
70,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Naphthyl Acetic Acid (NAA) % w/w,ABRL STP 071 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.0001% to 99 %,0.41 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
71,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Nickel as Ni mg/kg,FCO 1985 SCD IV Part D Cl.No.10,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
72,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Nickel as Ni mg/kg,IS 16556,50,15,600,1,108,708,ABRL PRO 060,10 µg/kg to 50000 mg/kg,,,https://forms.gle/ALxktWakYxGehtMa9
73,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Odor,OPPTS 830.6304,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
74,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Organic matter % w/w,FCO 1985 SCD IV Part D Cl.No.05,50,15,800,1,144,944,ABRL PRO 008, 0.1 % to 99 %,,,https://forms.gle/b51JKPnT1J9kNucy8
75,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Organic matter % w/w,IS 16556,50,15,800,1,144,944,ABRL PRO 008, 0.1 % to 99 %,,,https://forms.gle/b51JKPnT1J9kNucy8
76,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Particle size % w/w,FCO 1985 SCD IV Part D,100,15,300,1,54,354,ABRL PRO 061,0.1 % to 100 %,,,https://forms.gle/eSfFCX1syVcSxff18
77,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Persistant foaming (ml),CIPAC MT 47,50,15,1000,1,180,1180,ABRL PRO 094,0.1 ml to 1000 ml,,,https://forms.gle/inQej5gjwJrvLm2S8
78,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",pH (% aqeous solution/ Liquid),ABRL STP 027(PH-Meter),100,15,350,1,63,413,ABRL PRO 001,1 to 14,,,https://forms.gle/sHECK8iCUHJm39wK9
79,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",pH ,FCO 1985 SCD II Part B Cl.No.08,200,15,350,1,63,413,ABRL PRO 001,1 to 14,,,https://forms.gle/sHECK8iCUHJm39wK9
80,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",pH ,FCO 1985 SCD IV Part D Cl.No.1,100,15,400,1,72,472,ABRL PRO 041,1 to 14,,Minimum sample handeling charge is to be considered if providing service lower than 500 Rs.,https://forms.gle/1ummEPEzcdMaeP1XA
81,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",pH,IS 16556,100,15,400,1,72,472,ABRL PRO 041,1 to 14,,Minimum sample handeling charge is to be considered if providing service lower than 500 Rs.,https://forms.gle/1ummEPEzcdMaeP1XA
82,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Physical State (Form),OPPTS 830.6303,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
83,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Plant available silicon % w/w,FCO 1985 SCD II Part B Cl.No.29,50,15,1500,1,270,1770,ABRL PRO 069,0.01 % to 50 %,,,https://forms.gle/1ZzQ7V7cKb1dgmj4A
84,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Potassium as K mg/kg,ABRL STP 043 (MP-AES),100,15,1000,1,180,1180,ABRL PRO 028,1 mg/kg to 500000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
85,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Pourability (Residue) % w/w,CIPAC MT 148,1000,15,2000,1,360,2360,ABRL PRO 095,0.1 % to 70 %,,,https://forms.gle/49mTRqwiD6QxDFU87
86,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Pourability (Rinsed Residue) % w/w,CIPAC MT 148,1000,15,2000,1,360,2360,ABRL PRO 095,0.01 % to 50 %,,,https://forms.gle/49mTRqwiD6QxDFU87
87,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Quercetin % w/w,ABRL STP 007 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.0001 % to 95 %,0.39 mg/kg,,https://forms.gle/ZVvz31MkZnjJX1X38
88,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Shape ,ABRL STP 091,50,15,100,1,18,118,ABRL PRO 092,NA,,,https://forms.gle/ZrVhayg6o6mkzWNy6
89,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Sodium as Na mg/kg,ABRL STP 043 (MP-AES),50,15,3500,1,630,4130,ABRL PRO 028,1 mg/kg to 500000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
90,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Solid Content % w/w,IS 15106,50,15,450,1,81,531,ABRL PRO 004,0.1 % to 99 % w/w,,,https://forms.gle/r52g7ec3g7ZfoEhWA
91,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Solubility % w/w,ABRL STP 036 (Gravimetric),50,15,350,1,63,413,ABRL PRO 020,0.1 % to 100 %,,,https://forms.gle/4mKKEZ5kDncKWzB86
92,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Specific gravity ,CIPAC MT 3,50,15,350,1,63,413,ABRL PRO 066,0.500 to 2.500 g/ml,,,https://forms.gle/WXPbz5i1fZHux8bM9
93,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Specific gravity,FCO 1985 SCD II Part B,50,15,350,1,63,413,ABRL PRO 066,0.500 to 2.500 g/ml,,,https://forms.gle/WXPbz5i1fZHux8bM9
94,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Strontium as Sr mg/kg,ABRL STP 043 (MP-AES),50,15,3500,1,630,4130,ABRL PRO 028,1 mg/kg to 500000 mg/kg,,,https://forms.gle/CYNtvab5hedeJEEMA
95,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Sulphate Sulphur % w/w,FCO 1985 SCD II Part B Cl. No.24,50,15,800,1,144,944,ABRL PRO 011,0.1 % to 70 %,,,https://forms.gle/NEPfFA1GmooQ6YAg8
96,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Suspensibility % w/w,CIPAC MT 161,100,15,2000,1,360,2360,ABRL PRO 096,0.1 % to 105 %,,,https://forms.gle/1KM8MciJYXpU9Noz8
97,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Thiamin mononitrate (Vitamin B1) % w/w,ABRL STP 009 (HPLC),50,15,3500,1,630,4130,ABRL PRO 002,0.0001 % to 99 %,,,https://forms.gle/ZVvz31MkZnjJX1X38
98,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Total Amino acid % w/w,ABRL STP 052 (Ninhydrin),50,15,1500,1,270,1770,ABRL PRO 044,0.001 % to 99 %,,,https://forms.gle/KnFSJs2pxi9pDKaTA
99,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Total Amino Nitrogen % w/w,Thai industrial standard Page no. 191-193,1500,15,2000,1,360,2360,ABRL PRO 092,0.001 % to 99 %,,,https://forms.gle/KnFSJs2pxi9pDKaTA
100,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Total Carbohydrate % w/w,ABRL STP 046 (Anthrone),50,15,1500,1,270,1770,ABRL PRO 035,0.001 % to 99 %,10.05 mg/kg,,https://forms.gle/QExDSnE6janEauz8A
101,NABL,CHEMICAL- BIO- STIMULANT,"Botanical Extracts, including seaweed extracts",Total Chloride % w/w,FCO 1985 SCD II Part B Cl.No.18,50,15,300,1,54,354,ABRL PRO 078,0.01 % to 99 %,,,https://forms.gle/k6tf57dYD8yuAbRD8
